tickid,id,seqno,tradedate,ts,tradeprice,tradesize,askprice,asksize,bidprice,bidsize,type_
2671,Security_68,4,2022-11-21,09:11:14,33.0,500.0,,,,,T  
2675,Security_32,3,2022-11-21,09:11:15,,,82.0,2700.0,,,Q  
2690,Security_10,1,2022-11-21,09:11:19,,,70.0938,7600.0,,,Q  
2697,Security_66,3,2022-11-21,09:11:21,2.9375,7100.0,,,,,CT 
2708,Security_0,2,2022-11-21,09:11:24,,,,,94.9688,3400.0,Q  
2713,Security_31,3,2022-11-21,09:11:25,68.0,4800.0,,,,,T  
2717,Security_53,1,2022-11-21,09:11:26,,,,,20.9375,9100.0,Q  
2719,Security_19,1,2022-11-21,09:11:26,1.0,9900.0,,,,,T  
2734,Security_53,2,2022-11-21,09:11:30,,,,,20.9688,1400.0,Q  
2742,Security_46,9,2022-11-21,09:11:32,47.0,7600.0,,,,,CT 
2779,Security_3,1,2022-11-21,09:11:42,,,,,45.9375,5200.0,Q  
2783,Security_18,5,2022-11-21,09:11:43,,,,,44.9688,9000.0,Q  
2789,Security_32,4,2022-11-21,09:11:44,82.0,2900.0,,,,,CT 
2794,Security_9,3,2022-11-21,09:11:46,61.0,7600.0,,,,,T  
2801,Security_36,4,2022-11-21,09:11:47,,,51.0,100.0,,,Q  
2832,Security_89,4,2022-11-21,09:11:55,,,85.0938,5400.0,,,Q  
2836,Security_93,6,2022-11-21,09:11:56,73.0312,7400.0,,,,,CT 
2843,Security_53,3,2022-11-21,09:11:58,20.9688,8900.0,,,,,CT 
2860,Security_64,3,2022-11-21,09:12:02,56.0,8800.0,,,,,CT 
2873,Security_38,5,2022-11-21,09:12:06,,,,,29.0,5300.0,Q  
2895,Security_32,5,2022-11-21,09:12:11,82.0,1000.0,,,,,CT 
2900,Security_91,5,2022-11-21,09:12:13,,,,,42.0,3500.0,Q  
2914,Security_89,5,2022-11-21,09:12:16,85.0312,7200.0,,,,,CT 
2929,Security_59,5,2022-11-21,09:12:20,90.0312,4200.0,,,,,T  
2931,Security_47,5,2022-11-21,09:12:20,63.0312,4900.0,,,,,T  
2959,Security_15,3,2022-11-21,09:12:28,,,,,30.9375,4000.0,Q  
2963,Security_35,2,2022-11-21,09:12:29,58.0,100.0,,,,,CT 
2969,Security_59,6,2022-11-21,09:12:30,,,90.0312,5300.0,,,Q  
2970,Security_8,3,2022-11-21,09:12:30,81.0625,2500.0,,,,,CT 
2973,Security_38,6,2022-11-21,09:12:31,29.0,200.0,,,,,T  
2983,Security_1,4,2022-11-21,09:12:34,4.0,9100.0,,,,,T  
2994,Security_38,7,2022-11-21,09:12:36,29.0,3300.0,,,,,CT 
2999,Security_34,2,2022-11-21,09:12:38,,,,,51.9688,7600.0,Q  
3000,Security_28,6,2022-11-21,09:12:38,,,,,94.0312,1200.0,Q  
3006,Security_89,6,2022-11-21,09:12:39,,,,,85.0312,4100.0,Q  
3008,Security_44,4,2022-11-21,09:12:40,,,,,15.0625,5100.0,Q  
3010,Security_30,3,2022-11-21,09:12:40,22.0,3600.0,,,,,CT 
3038,Security_35,3,2022-11-21,09:12:48,,,,,57.9375,4500.0,Q  
3057,Security_44,5,2022-11-21,09:12:53,,,,,15.0938,8800.0,Q  
3068,Security_60,6,2022-11-21,09:12:55,72.0,8200.0,,,,,T  
3074,Security_87,3,2022-11-21,09:12:57,98.0,3000.0,,,,,T  
3081,Security_33,3,2022-11-21,09:12:59,69.0,5700.0,,,,,T  
3088,Security_29,4,2022-11-21,09:13:00,,,11.0938,1300.0,,,Q  
3097,Security_91,6,2022-11-21,09:13:03,,,,,42.0312,4800.0,Q  
3116,Security_29,5,2022-11-21,09:13:07,11.0625,3900.0,,,,,CT 
3121,Security_46,10,2022-11-21,09:13:09,,,47.0625,3300.0,,,Q  
3124,Security_55,2,2022-11-21,09:13:10,,,,,27.0625,6600.0,Q  
3128,Security_44,6,2022-11-21,09:13:11,,,,,15.0938,4200.0,Q  
3137,Security_10,2,2022-11-21,09:13:13,,,,,70.0625,4900.0,Q  
3152,Security_74,1,2022-11-21,09:13:17,93.0,400.0,,,,,CT 
3160,Security_26,2,2022-11-21,09:13:19,5.0,8400.0,,,,,T  
3167,Security_85,6,2022-11-21,09:13:21,,,,,27.0938,2200.0,Q  
3177,Security_65,3,2022-11-21,09:13:23,54.0,8200.0,,,,,CT 
3193,Security_27,5,2022-11-21,09:13:28,,,,,31.0,8900.0,Q  
3197,Security_82,3,2022-11-21,09:13:29,31.0,9200.0,,,,,T  
3204,Security_75,4,2022-11-21,09:13:30,35.0625,8800.0,,,,,T  
3214,Security_83,3,2022-11-21,09:13:33,,,82.0312,600.0,,,Q  
3226,Security_3,2,2022-11-21,09:13:36,45.9375,4800.0,,,,,T  
3237,Security_92,4,2022-11-21,09:13:39,,,2.0312,3800.0,,,Q  
3241,Security_80,3,2022-11-21,09:13:40,80.0,8500.0,,,,,T  
3246,Security_28,7,2022-11-21,09:13:41,,,94.0938,1500.0,,,Q  
3249,Security_25,3,2022-11-21,09:13:42,,,75.0938,3800.0,,,Q  
3251,Security_14,1,2022-11-21,09:13:42,,,82.0312,7800.0,,,Q  
3254,Security_75,5,2022-11-21,09:13:43,,,35.1562,5900.0,,,Q  
3257,Security_1,5,2022-11-21,09:13:44,,,,,4.0625,5700.0,Q  
3258,Security_85,7,2022-11-21,09:13:44,27.0938,4200.0,,,,,CT 
3265,Security_36,5,2022-11-21,09:13:46,,,,,50.9688,8800.0,Q  
3273,Security_94,3,2022-11-21,09:13:48,66.9375,7800.0,,,,,CT 
3276,Security_15,4,2022-11-21,09:13:48,30.9375,1900.0,,,,,CT 
3298,Security_18,6,2022-11-21,09:13:54,44.9688,7500.0,,,,,T  
3305,Security_73,4,2022-11-21,09:13:56,,,,,65.9688,5500.0,Q  
3310,Security_64,4,2022-11-21,09:13:57,,,,,56.0625,3000.0,Q  
3312,Security_54,5,2022-11-21,09:13:57,26.9688,9500.0,,,,,T  
3318,Security_97,2,2022-11-21,09:13:59,84.0,3400.0,,,,,T  
3319,Security_55,3,2022-11-21,09:13:59,27.0625,4700.0,,,,,CT 
3320,Security_18,7,2022-11-21,09:13:59,,,,,44.9375,9500.0,Q  
3326,Security_49,4,2022-11-21,09:14:01,,,62.0938,2200.0,,,Q  
3355,Security_74,2,2022-11-21,09:14:08,,,,,93.0,7700.0,Q  
3359,Security_64,5,2022-11-21,09:14:09,,,,,56.0625,7000.0,Q  
3382,Security_16,8,2022-11-21,09:14:15,,,,,97.0312,2300.0,Q  
3385,Security_70,3,2022-11-21,09:14:16,,,,,60.9688,4300.0,Q  
3395,Security_21,4,2022-11-21,09:14:18,12.0312,9100.0,,,,,CT 
3396,Security_54,6,2022-11-21,09:14:19,,,27.0312,7500.0,,,Q  
3437,Security_50,3,2022-11-21,09:14:29,,,43.0625,8100.0,,,Q  
3441,Security_71,6,2022-11-21,09:14:30,,,92.0625,5600.0,,,Q  
3450,Security_79,3,2022-11-21,09:14:32,,,39.0,3700.0,,,Q  
3452,Security_78,2,2022-11-21,09:14:33,,,,,67.9375,3400.0,Q  
3453,Security_77,5,2022-11-21,09:14:33,,,49.0312,2900.0,,,Q  
