Id,SeqNo,TradeDate,TimeStamp,TradePrice,TradeSize,AskPrice,AskSize,BidPrice,BidSize,Type
Security_82,1,8360,32479000,31.0,600,,-2147483648,,-2147483648,T
Security_20,2,8360,32482000,,-2147483648,,-2147483648,55.0312,8500,Q
Security_16,1,8360,32482000,97.0,8900,,-2147483648,,-2147483648,T
Security_92,2,8360,32490000,2.0,9500,,-2147483648,,-2147483648,CT
Security_69,2,8360,32491000,77.0,3600,,-2147483648,,-2147483648,CT
Security_81,1,8360,32492000,95.0,7100,,-2147483648,,-2147483648,CT
Security_65,1,8360,32492000,54.0,3500,,-2147483648,,-2147483648,T
Security_25,1,8360,32498000,75.0,2500,,-2147483648,,-2147483648,CT
Security_22,3,8360,32500000,,-2147483648,,-2147483648,18.0312,3500,Q
Security_58,1,8360,32503000,49.0,5800,,-2147483648,,-2147483648,T
Security_71,2,8360,32506000,92.0,500,,-2147483648,,-2147483648,CT
Security_49,1,8360,32508000,,-2147483648,,-2147483648,61.9375,3600,Q
Security_17,1,8360,32511000,,-2147483648,76.0625,7700,,-2147483648,Q
Security_48,1,8360,32513000,,-2147483648,,-2147483648,63.0625,300,Q
Security_16,2,8360,32514000,97.0,6500,,-2147483648,,-2147483648,T
Security_60,2,8360,32516000,,-2147483648,72.0,6500,,-2147483648,Q
Security_36,1,8360,32521000,,-2147483648,,-2147483648,51.0,9700,Q
Security_80,2,8360,32523000,80.0,6500,,-2147483648,,-2147483648,T
Security_88,1,8360,32523000,,-2147483648,32.0938,4300,,-2147483648,Q
Security_93,1,8360,32524000,,-2147483648,73.0625,400,,-2147483648,Q
Security_63,1,8360,32527000,15.0,3700,,-2147483648,,-2147483648,T
Security_93,2,8360,32529000,,-2147483648,73.0625,7600,,-2147483648,Q
Security_93,3,8360,32532000,73.0,6600,,-2147483648,,-2147483648,CT
Security_60,3,8360,32533000,,-2147483648,72.0,1100,,-2147483648,Q
Security_27,2,8360,32535000,,-2147483648,,-2147483648,31.0312,3700,Q
Security_5,2,8360,32536000,43.0,300,,-2147483648,,-2147483648,CT
Security_54,2,8360,32538000,26.9688,3400,,-2147483648,,-2147483648,CT
Security_17,2,8360,32541000,,-2147483648,,-2147483648,75.9688,3400,Q
Security_68,1,8360,32543000,33.0,600,,-2147483648,,-2147483648,T
Security_18,2,8360,32549000,,-2147483648,45.0938,7000,,-2147483648,Q
Security_23,1,8360,32551000,,-2147483648,,-2147483648,52.9375,5000,Q
Security_87,1,8360,32554000,98.0,2200,,-2147483648,,-2147483648,T
Security_33,1,8360,32556000,,-2147483648,69.0,8800,,-2147483648,Q
Security_52,2,8360,32556000,20.0,1800,,-2147483648,,-2147483648,CT
Security_9,1,8360,32557000,,-2147483648,61.0,800,,-2147483648,Q
Security_37,1,8360,32557000,,-2147483648,97.0,2400,,-2147483648,Q
Security_72,1,8360,32558000,81.0,9800,,-2147483648,,-2147483648,CT
Security_44,1,8360,32560000,15.0,6600,,-2147483648,,-2147483648,T
Security_72,2,8360,32564000,,-2147483648,,-2147483648,81.0312,8700,Q
Security_49,2,8360,32564000,,-2147483648,,-2147483648,61.9375,6300,Q
Security_48,2,8360,32574000,63.0625,6200,,-2147483648,,-2147483648,CT
Security_4,2,8360,32575000,,-2147483648,,-2147483648,62.0625,4900,Q
Security_63,2,8360,32576000,,-2147483648,15.0,5900,,-2147483648,Q
Security_92,3,8360,32576000,,-2147483648,2.0938,7900,,-2147483648,Q
Security_26,1,8360,32577000,5.0,4200,,-2147483648,,-2147483648,T
Security_27,3,8360,32578000,31.0312,3900,,-2147483648,,-2147483648,T
Security_75,2,8360,32578000,,-2147483648,,-2147483648,35.0625,1600,Q
Security_11,1,8360,32581000,,-2147483648,73.0938,1300,,-2147483648,Q
Security_63,3,8360,32589000,15.0,100,,-2147483648,,-2147483648,T
Security_73,2,8360,32590000,66.0,5600,,-2147483648,,-2147483648,CT
Security_45,1,8360,32591000,,-2147483648,87.0,9100,,-2147483648,Q
Security_16,3,8360,32591000,97.0,700,,-2147483648,,-2147483648,CT
Security_22,4,8360,32596000,18.0312,8000,,-2147483648,,-2147483648,T
Security_60,4,8360,32599000,72.0,3900,,-2147483648,,-2147483648,CT
Security_28,1,8360,32600000,,-2147483648,94.0312,7000,,-2147483648,Q
Security_5,3,8360,32602000,,-2147483648,43.0625,5800,,-2147483648,Q
Security_1,1,8360,32603000,,-2147483648,4.0,7500,,-2147483648,Q
Security_5,4,8360,32604000,43.0,2600,,-2147483648,,-2147483648,T
Security_90,1,8360,32605000,50.0,5800,,-2147483648,,-2147483648,CT
Security_71,3,8360,32605000,92.0,7500,,-2147483648,,-2147483648,T
Security_83,1,8360,32606000,,-2147483648,82.0938,1400,,-2147483648,Q
Security_93,4,8360,32609000,,-2147483648,,-2147483648,73.0,5000,Q
Security_33,2,8360,32614000,69.0,2100,,-2147483648,,-2147483648,T
Security_39,1,8360,32614000,,-2147483648,,-2147483648,76.0625,9000,Q
Security_20,3,8360,32614000,,-2147483648,,-2147483648,55.0312,6700,Q
Security_23,2,8360,32615000,,-2147483648,53.0312,2800,,-2147483648,Q
Security_84,2,8360,32618000,,-2147483648,,-2147483648,46.0,2400,Q
Security_52,3,8360,32621000,20.0,4800,,-2147483648,,-2147483648,T
Security_66,1,8360,32622000,,-2147483648,,-2147483648,3.0,1200,Q
Security_1,2,8360,32624000,4.0,5800,,-2147483648,,-2147483648,CT
Security_90,2,8360,32626000,50.0,6200,,-2147483648,,-2147483648,T
Security_81,2,8360,32626000,95.0,6000,,-2147483648,,-2147483648,T
Security_7,1,8360,32633000,,-2147483648,47.0,5300,,-2147483648,Q
Security_91,1,8360,32633000,,-2147483648,42.0,5000,,-2147483648,Q
Security_70,1,8360,32636000,,-2147483648,,-2147483648,60.9375,7500,Q
Security_68,2,8360,32638000,33.0,700,,-2147483648,,-2147483648,T
Security_7,2,8360,32641000,47.0,2100,,-2147483648,,-2147483648,T
Security_54,3,8360,32642000,,-2147483648,26.9688,6400,,-2147483648,Q
Security_63,4,8360,32642000,15.0,7100,,-2147483648,,-2147483648,CT
Security_77,1,8360,32649000,49.0,1900,,-2147483648,,-2147483648,CT
Security_86,2,8360,32650000,29.0312,5800,,-2147483648,,-2147483648,T
Security_2,2,8360,32655000,,-2147483648,90.0625,4800,,-2147483648,Q
Security_56,1,8360,32656000,,-2147483648,25.0312,7100,,-2147483648,Q
Security_31,1,8360,32657000,,-2147483648,68.0938,9200,,-2147483648,Q
Security_77,2,8360,32667000,,-2147483648,,-2147483648,48.9375,1600,Q
Security_20,4,8360,32671000,55.0312,3800,,-2147483648,,-2147483648,CT
Security_62,1,8360,32675000,53.0,2100,,-2147483648,,-2147483648,CT
Security_32,1,8360,32678000,82.0,3800,,-2147483648,,-2147483648,T
Security_100,1,8360,32680000,,-2147483648,34.0938,100,,-2147483648,Q
Security_95,3,8360,32682000,,-2147483648,,-2147483648,1.0,3300,Q
Security_30,1,8360,32682000,,-2147483648,,-2147483648,22.0,9700,Q
Security_50,1,8360,32687000,,-2147483648,43.0312,2700,,-2147483648,Q
Security_6,1,8360,32697000,58.0,7500,,-2147483648,,-2147483648,T
Security_39,2,8360,32698000,76.0625,700,,-2147483648,,-2147483648,T
Security_18,3,8360,32698000,45.0,8400,,-2147483648,,-2147483648,T
Security_79,2,8360,32701000,39.0,2500,,-2147483648,,-2147483648,CT
Security_59,1,8360,32704000,,-2147483648,,-2147483648,90.0625,4700,Q
Security_0,1,8360,32705000,95.0,5500,,-2147483648,,-2147483648,T
Security_28,2,8360,32712000,,-2147483648,,-2147483648,94.0312,9100,Q
Security_52,4,8360,32713000,,-2147483648,20.0938,2100,,-2147483648,Q
Security_5,5,8360,32722000,,-2147483648,43.0625,1800,,-2147483648,Q
Security_11,2,8360,32727000,,-2147483648,73.0,8300,,-2147483648,Q
Security_95,4,8360,32730000,1.0,6700,,-2147483648,,-2147483648,T
Security_51,2,8360,32730000,,-2147483648,32.0938,2300,,-2147483648,Q
Security_78,1,8360,32741000,,-2147483648,68.0938,6000,,-2147483648,Q
Security_29,2,8360,32742000,11.0625,2500,,-2147483648,,-2147483648,CT
Security_13,1,8360,32743000,,-2147483648,,-2147483648,27.0312,200,Q
Security_85,1,8360,32746000,27.0,900,,-2147483648,,-2147483648,T
Security_18,4,8360,32747000,45.0,6000,,-2147483648,,-2147483648,T
Security_55,1,8360,32748000,,-2147483648,27.0,1200,,-2147483648,Q
Security_76,1,8360,32755000,,-2147483648,83.0625,6700,,-2147483648,Q
Security_89,1,8360,32756000,,-2147483648,,-2147483648,85.0625,3000,Q
Security_16,4,8360,32757000,97.0,700,,-2147483648,,-2147483648,T
Security_83,2,8360,32758000,82.0,6400,,-2147483648,,-2147483648,CT
Security_77,3,8360,32761000,,-2147483648,49.0,6600,,-2147483648,Q
Security_13,2,8360,32763000,,-2147483648,,-2147483648,26.9688,3500,Q
Security_44,2,8360,32772000,15.0,6300,,-2147483648,,-2147483648,T
Security_90,3,8360,32772000,,-2147483648,,-2147483648,50.0,9000,Q
Security_84,3,8360,32774000,,-2147483648,46.0,7100,,-2147483648,Q
Security_85,2,8360,32778000,27.0,3200,,-2147483648,,-2147483648,CT
Security_86,3,8360,32778000,29.0312,9200,,-2147483648,,-2147483648,T
Security_94,1,8360,32784000,,-2147483648,,-2147483648,66.9688,8800,Q
Security_36,2,8360,32786000,51.0,4700,,-2147483648,,-2147483648,T
Security_21,1,8360,32789000,,-2147483648,12.0312,5200,,-2147483648,Q
Security_81,3,8360,32790000,,-2147483648,,-2147483648,95.0,5300,Q
Security_24,1,8360,32795000,46.0,8300,,-2147483648,,-2147483648,CT
Security_86,4,8360,32800000,29.0312,3600,,-2147483648,,-2147483648,T
Security_38,2,8360,32804000,29.0,5300,,-2147483648,,-2147483648,CT
Security_88,2,8360,32805000,,-2147483648,32.0938,4700,,-2147483648,Q
Security_61,1,8360,32805000,,-2147483648,53.0,2900,,-2147483648,Q
Security_85,3,8360,32806000,,-2147483648,,-2147483648,26.9688,3100,Q
Security_46,3,8360,32806000,47.0,4700,,-2147483648,,-2147483648,T
Security_88,3,8360,32807000,32.0,9400,,-2147483648,,-2147483648,CT
Security_51,3,8360,32814000,,-2147483648,32.0,8600,,-2147483648,Q
Security_16,5,8360,32816000,97.0,4800,,-2147483648,,-2147483648,CT
Security_35,1,8360,32816000,58.0,8900,,-2147483648,,-2147483648,CT
Security_29,3,8360,32817000,11.0625,2700,,-2147483648,,-2147483648,T
Security_94,2,8360,32819000,,-2147483648,,-2147483648,66.9375,9400,Q
Security_8,1,8360,32820000,,-2147483648,81.0312,8100,,-2147483648,Q
Security_63,5,8360,32820000,15.0,400,,-2147483648,,-2147483648,CT
Security_50,2,8360,32828000,,-2147483648,43.0,6100,,-2147483648,Q
Security_65,2,8360,32828000,54.0,600,,-2147483648,,-2147483648,CT
Security_34,1,8360,32832000,,-2147483648,52.0312,3400,,-2147483648,Q
Security_100,2,8360,32835000,,-2147483648,,-2147483648,33.9688,2500,Q
Security_13,3,8360,32838000,,-2147483648,26.9688,1100,,-2147483648,Q
Security_46,4,8360,32839000,47.0,2700,,-2147483648,,-2147483648,T
Security_16,6,8360,32845000,97.0,1000,,-2147483648,,-2147483648,CT
Security_91,2,8360,32847000,42.0,7300,,-2147483648,,-2147483648,CT
Security_13,4,8360,32849000,,-2147483648,,-2147483648,26.9375,7700,Q
Security_28,3,8360,32852000,,-2147483648,94.125,6200,,-2147483648,Q
Security_32,2,8360,32855000,,-2147483648,82.0312,3700,,-2147483648,Q
Security_71,4,8360,32858000,,-2147483648,,-2147483648,92.0625,5500,Q
Security_68,3,8360,32862000,,-2147483648,33.0,1400,,-2147483648,Q
Security_47,1,8360,32872000,,-2147483648,63.0,9200,,-2147483648,Q
Security_85,4,8360,32873000,,-2147483648,,-2147483648,27.0312,5900,Q
Security_64,2,8360,32881000,56.0,6800,,-2147483648,,-2147483648,T
Security_97,1,8360,32881000,84.0,2000,,-2147483648,,-2147483648,T
Security_1,3,8360,32884000,4.0,3500,,-2147483648,,-2147483648,T
Security_39,3,8360,32884000,,-2147483648,76.1562,200,,-2147483648,Q
Security_8,2,8360,32885000,,-2147483648,,-2147483648,81.0625,7100,Q
Security_59,2,8360,32885000,90.0625,8600,,-2147483648,,-2147483648,CT
Security_37,2,8360,32889000,97.0,5300,,-2147483648,,-2147483648,T
Security_87,2,8360,32890000,,-2147483648,,-2147483648,98.0,4900,Q
Security_77,4,8360,32892000,,-2147483648,,-2147483648,49.0,2600,Q
Security_30,2,8360,32892000,22.0,3000,,-2147483648,,-2147483648,T
Security_99,1,8360,32895000,87.0,6400,,-2147483648,,-2147483648,T
Security_47,2,8360,32899000,,-2147483648,,-2147483648,63.0312,6600,Q
Security_12,1,8360,32909000,20.0,2400,,-2147483648,,-2147483648,T
Security_17,3,8360,32911000,75.9688,3200,,-2147483648,,-2147483648,CT
Security_40,1,8360,32914000,10.0,5400,,-2147483648,,-2147483648,T
Security_6,2,8360,32914000,58.0,1900,,-2147483648,,-2147483648,CT
Security_56,2,8360,32916000,25.0,8200,,-2147483648,,-2147483648,CT
Security_25,2,8360,32934000,,-2147483648,75.0625,2600,,-2147483648,Q
Security_2,3,8360,32936000,,-2147483648,,-2147483648,90.0938,700,Q
Security_70,2,8360,32938000,,-2147483648,,-2147483648,60.9062,7200,Q
Security_71,5,8360,32942000,92.0625,9200,,-2147483648,,-2147483648,CT
Security_24,2,8360,32942000,,-2147483648,,-2147483648,46.0,8100,Q
Security_58,2,8360,32943000,49.0,7100,,-2147483648,,-2147483648,CT
Security_47,3,8360,32944000,,-2147483648,63.125,3300,,-2147483648,Q
Security_28,4,8360,32945000,94.0312,9500,,-2147483648,,-2147483648,CT
Security_11,3,8360,32946000,73.0,4600,,-2147483648,,-2147483648,T
Security_91,3,8360,32948000,42.0,4400,,-2147483648,,-2147483648,T
Security_58,3,8360,32953000,,-2147483648,,-2147483648,49.0,300,Q
Security_40,2,8360,32954000,10.0,9100,,-2147483648,,-2147483648,T
Security_46,5,8360,32960000,47.0,2700,,-2147483648,,-2147483648,CT
Security_59,3,8360,32962000,,-2147483648,,-2147483648,90.0312,1500,Q
Security_66,2,8360,32965000,,-2147483648,,-2147483648,2.9375,7300,Q
Security_46,6,8360,32968000,,-2147483648,,-2147483648,47.0,2400,Q
Security_38,3,8360,32969000,29.0,1000,,-2147483648,,-2147483648,CT
Security_48,3,8360,32971000,,-2147483648,63.125,7500,,-2147483648,Q
Security_89,2,8360,32972000,85.0625,4200,,-2147483648,,-2147483648,T
Security_75,3,8360,32973000,35.0625,2000,,-2147483648,,-2147483648,CT
Security_9,2,8360,32974000,61.0,1800,,-2147483648,,-2147483648,T
Security_12,2,8360,32977000,20.0,6100,,-2147483648,,-2147483648,CT
Security_4,3,8360,32977000,62.0625,8300,,-2147483648,,-2147483648,T
Security_44,3,8360,32979000,,-2147483648,,-2147483648,15.0625,9600,Q
Security_54,4,8360,32979000,26.9688,5800,,-2147483648,,-2147483648,CT
Security_38,4,8360,32980000,29.0,7600,,-2147483648,,-2147483648,CT
Security_85,5,8360,32981000,27.0312,5000,,-2147483648,,-2147483648,T
Security_52,5,8360,32991000,20.0,600,,-2147483648,,-2147483648,T
Security_36,3,8360,33000000,,-2147483648,,-2147483648,50.9688,1500,Q
Security_37,3,8360,33001000,,-2147483648,97.0938,7800,,-2147483648,Q
Security_16,7,8360,33003000,,-2147483648,97.0625,8300,,-2147483648,Q
Security_47,4,8360,33011000,63.0312,1900,,-2147483648,,-2147483648,T
Security_31,2,8360,33020000,68.0,3000,,-2147483648,,-2147483648,CT
Security_91,4,8360,33021000,,-2147483648,42.0938,5800,,-2147483648,Q
Security_28,5,8360,33022000,94.0312,1300,,-2147483648,,-2147483648,T
Security_5,6,8360,33022000,,-2147483648,,-2147483648,43.0,1600,Q
Security_89,3,8360,33024000,,-2147483648,,-2147483648,85.0312,400,Q
Security_11,4,8360,33024000,,-2147483648,73.0625,3500,,-2147483648,Q
Security_6,3,8360,33031000,58.0,3400,,-2147483648,,-2147483648,CT
Security_69,3,8360,33038000,77.0,6400,,-2147483648,,-2147483648,T
Security_11,5,8360,33040000,,-2147483648,,-2147483648,72.9688,6100,Q
Security_27,4,8360,33042000,,-2147483648,31.125,5100,,-2147483648,Q
Security_93,5,8360,33044000,,-2147483648,,-2147483648,73.0312,4500,Q
Security_21,2,8360,33045000,,-2147483648,,-2147483648,12.0312,5500,Q
Security_46,7,8360,33047000,47.0,7100,,-2147483648,,-2147483648,CT
Security_82,2,8360,33053000,31.0,2000,,-2147483648,,-2147483648,CT
Security_60,5,8360,33057000,72.0,400,,-2147483648,,-2147483648,CT
Security_76,2,8360,33060000,,-2147483648,83.0625,5400,,-2147483648,Q
Security_4,4,8360,33060000,,-2147483648,,-2147483648,62.0625,200,Q
Security_41,1,8360,33061000,,-2147483648,16.0,4500,,-2147483648,Q
Security_46,8,8360,33062000,47.0,4600,,-2147483648,,-2147483648,CT
Security_59,4,8360,33068000,,-2147483648,,-2147483648,90.0312,3800,Q
Security_21,3,8360,33069000,12.0312,3000,,-2147483648,,-2147483648,T
Security_39,4,8360,33070000,76.0625,7400,,-2147483648,,-2147483648,CT
Security_73,3,8360,33071000,,-2147483648,66.0625,6300,,-2147483648,Q
Security_23,3,8360,33071000,52.9375,4200,,-2147483648,,-2147483648,T
Security_2,4,8360,33073000,,-2147483648,,-2147483648,90.0312,3200,Q
Security_48,4,8360,33074000,63.0625,4700,,-2147483648,,-2147483648,T
Security_68,4,8360,33074000,33.0,500,,-2147483648,,-2147483648,T
Security_32,3,8360,33075000,,-2147483648,82.0,2700,,-2147483648,Q
Security_10,1,8360,33079000,,-2147483648,70.0938,7600,,-2147483648,Q
Security_66,3,8360,33081000,2.9375,7100,,-2147483648,,-2147483648,CT
Security_0,2,8360,33084000,,-2147483648,,-2147483648,94.9688,3400,Q
Security_31,3,8360,33085000,68.0,4800,,-2147483648,,-2147483648,T
Security_53,1,8360,33086000,,-2147483648,,-2147483648,20.9375,9100,Q
Security_19,1,8360,33086000,1.0,9900,,-2147483648,,-2147483648,T
Security_53,2,8360,33090000,,-2147483648,,-2147483648,20.9688,1400,Q
Security_46,9,8360,33092000,47.0,7600,,-2147483648,,-2147483648,CT
Security_3,1,8360,33102000,,-2147483648,,-2147483648,45.9375,5200,Q
Security_18,5,8360,33103000,,-2147483648,,-2147483648,44.9688,9000,Q
Security_32,4,8360,33104000,82.0,2900,,-2147483648,,-2147483648,CT
Security_9,3,8360,33106000,61.0,7600,,-2147483648,,-2147483648,T
Security_36,4,8360,33107000,,-2147483648,51.0,100,,-2147483648,Q
Security_89,4,8360,33115000,,-2147483648,85.0938,5400,,-2147483648,Q
Security_93,6,8360,33116000,73.0312,7400,,-2147483648,,-2147483648,CT
Security_53,3,8360,33118000,20.9688,8900,,-2147483648,,-2147483648,CT
Security_64,3,8360,33122000,56.0,8800,,-2147483648,,-2147483648,CT
Security_38,5,8360,33126000,,-2147483648,,-2147483648,29.0,5300,Q
Security_32,5,8360,33131000,82.0,1000,,-2147483648,,-2147483648,CT
Security_91,5,8360,33133000,,-2147483648,,-2147483648,42.0,3500,Q
Security_89,5,8360,33136000,85.0312,7200,,-2147483648,,-2147483648,CT
Security_59,5,8360,33140000,90.0312,4200,,-2147483648,,-2147483648,T
Security_47,5,8360,33140000,63.0312,4900,,-2147483648,,-2147483648,T
Security_15,3,8360,33148000,,-2147483648,,-2147483648,30.9375,4000,Q
Security_35,2,8360,33149000,58.0,100,,-2147483648,,-2147483648,CT
Security_59,6,8360,33150000,,-2147483648,90.0312,5300,,-2147483648,Q
Security_8,3,8360,33150000,81.0625,2500,,-2147483648,,-2147483648,CT
Security_38,6,8360,33151000,29.0,200,,-2147483648,,-2147483648,T
Security_1,4,8360,33154000,4.0,9100,,-2147483648,,-2147483648,T
Security_38,7,8360,33156000,29.0,3300,,-2147483648,,-2147483648,CT
Security_34,2,8360,33158000,,-2147483648,,-2147483648,51.9688,7600,Q
Security_28,6,8360,33158000,,-2147483648,,-2147483648,94.0312,1200,Q
Security_89,6,8360,33159000,,-2147483648,,-2147483648,85.0312,4100,Q
Security_44,4,8360,33160000,,-2147483648,,-2147483648,15.0625,5100,Q
Security_30,3,8360,33160000,22.0,3600,,-2147483648,,-2147483648,CT
Security_35,3,8360,33168000,,-2147483648,,-2147483648,57.9375,4500,Q
Security_44,5,8360,33173000,,-2147483648,,-2147483648,15.0938,8800,Q
Security_60,6,8360,33175000,72.0,8200,,-2147483648,,-2147483648,T
Security_87,3,8360,33177000,98.0,3000,,-2147483648,,-2147483648,T
Security_33,3,8360,33179000,69.0,5700,,-2147483648,,-2147483648,T
Security_29,4,8360,33180000,,-2147483648,11.0938,1300,,-2147483648,Q
Security_91,6,8360,33183000,,-2147483648,,-2147483648,42.0312,4800,Q
Security_29,5,8360,33187000,11.0625,3900,,-2147483648,,-2147483648,CT
Security_46,10,8360,33189000,,-2147483648,47.0625,3300,,-2147483648,Q
Security_55,2,8360,33190000,,-2147483648,,-2147483648,27.0625,6600,Q
Security_44,6,8360,33191000,,-2147483648,,-2147483648,15.0938,4200,Q
Security_10,2,8360,33193000,,-2147483648,,-2147483648,70.0625,4900,Q
Security_74,1,8360,33197000,93.0,400,,-2147483648,,-2147483648,CT
Security_26,2,8360,33199000,5.0,8400,,-2147483648,,-2147483648,T
Security_85,6,8360,33201000,,-2147483648,,-2147483648,27.0938,2200,Q
Security_65,3,8360,33203000,54.0,8200,,-2147483648,,-2147483648,CT
Security_49,3,8360,33206000,,-2147483648,,-2147483648,62.0,4000,Q
Security_27,5,8360,33208000,,-2147483648,,-2147483648,31.0,8900,Q
Security_82,3,8360,33209000,31.0,9200,,-2147483648,,-2147483648,T
Security_75,4,8360,33210000,35.0625,8800,,-2147483648,,-2147483648,T
Security_83,3,8360,33213000,,-2147483648,82.0312,600,,-2147483648,Q
Security_3,2,8360,33216000,45.9375,4800,,-2147483648,,-2147483648,T
Security_100,3,8360,33217000,,-2147483648,,-2147483648,33.9688,8300,Q
Security_92,4,8360,33219000,,-2147483648,2.0312,3800,,-2147483648,Q
Security_80,3,8360,33220000,80.0,8500,,-2147483648,,-2147483648,T
Security_28,7,8360,33221000,,-2147483648,94.0938,1500,,-2147483648,Q
Security_25,3,8360,33222000,,-2147483648,75.0938,3800,,-2147483648,Q
Security_14,1,8360,33222000,,-2147483648,82.0312,7800,,-2147483648,Q
Security_75,5,8360,33223000,,-2147483648,35.1562,5900,,-2147483648,Q
Security_1,5,8360,33224000,,-2147483648,,-2147483648,4.0625,5700,Q
Security_85,7,8360,33224000,27.0938,4200,,-2147483648,,-2147483648,CT
Security_36,5,8360,33226000,,-2147483648,,-2147483648,50.9688,8800,Q
Security_94,3,8360,33228000,66.9375,7800,,-2147483648,,-2147483648,CT
Security_15,4,8360,33228000,30.9375,1900,,-2147483648,,-2147483648,CT
Security_18,6,8360,33234000,44.9688,7500,,-2147483648,,-2147483648,T
Security_73,4,8360,33236000,,-2147483648,,-2147483648,65.9688,5500,Q
Security_64,4,8360,33237000,,-2147483648,,-2147483648,56.0625,3000,Q
Security_54,5,8360,33237000,26.9688,9500,,-2147483648,,-2147483648,T
Security_97,2,8360,33239000,84.0,3400,,-2147483648,,-2147483648,T
Security_55,3,8360,33239000,27.0625,4700,,-2147483648,,-2147483648,CT
Security_18,7,8360,33239000,,-2147483648,,-2147483648,44.9375,9500,Q
Security_49,4,8360,33241000,,-2147483648,62.0938,2200,,-2147483648,Q
Security_74,2,8360,33248000,,-2147483648,,-2147483648,93.0,7700,Q
Security_64,5,8360,33249000,,-2147483648,,-2147483648,56.0625,7000,Q
Security_16,8,8360,33255000,,-2147483648,,-2147483648,97.0312,2300,Q
Security_70,3,8360,33256000,,-2147483648,,-2147483648,60.9688,4300,Q
Security_21,4,8360,33258000,12.0312,9100,,-2147483648,,-2147483648,CT
Security_54,6,8360,33259000,,-2147483648,27.0312,7500,,-2147483648,Q
Security_50,3,8360,33269000,,-2147483648,43.0625,8100,,-2147483648,Q
Security_71,6,8360,33270000,,-2147483648,92.0625,5600,,-2147483648,Q
Security_79,3,8360,33272000,,-2147483648,39.0,3700,,-2147483648,Q
Security_78,2,8360,33273000,,-2147483648,,-2147483648,67.9375,3400,Q
Security_77,5,8360,33273000,,-2147483648,49.0312,2900,,-2147483648,Q
Security_96,2,8360,33273000,,-2147483648,0.0938,8400,,-2147483648,Q
Security_36,6,8360,33277000,,-2147483648,,-2147483648,50.9375,9300,Q
Security_33,4,8360,33280000,,-2147483648,69.0938,4500,,-2147483648,Q
Security_84,4,8360,33281000,,-2147483648,46.0,8700,,-2147483648,Q
Security_5,7,8360,33290000,43.0,8300,,-2147483648,,-2147483648,T
Security_15,5,8360,33290000,30.9375,2700,,-2147483648,,-2147483648,CT
Security_47,6,8360,33291000,63.0312,5700,,-2147483648,,-2147483648,T
Security_83,4,8360,33296000,,-2147483648,,-2147483648,82.0625,4800,Q
Security_44,7,8360,33296000,15.0938,400,,-2147483648,,-2147483648,CT
Security_19,2,8360,33297000,,-2147483648,1.0625,3700,,-2147483648,Q
Security_59,7,8360,33298000,90.0312,7400,,-2147483648,,-2147483648,CT
Security_22,5,8360,33301000,18.0312,2700,,-2147483648,,-2147483648,CT
